rec_id,parent_id,menu_order,menu_name,url,secured
1000,0,1,Player,,1
1010,1000,1,Current List,index.php?action=playerlist,1
1020,1000,2,Renew,index.php?action=playerrenew,1
1050,1000,5,Search,index.php?action=playerfind,1
2000,0,2,Members,,1
2010,2000,1,Current List,index.php?action=memberlist,1
2020,2000,2,Renew,index.php?action=memberrenew,1
1061,1060,1,Player details,index.php?action=playerdownload,1
2050,2000,5,Search,index.php?action=memberfind,1
3000,0,3,Manage,,1
3010,3000,1,Match Report,index.php?action=matchreport,1
3020,3000,2,Team lists,index.php?action=teamplayerlist,1
5091,5000,10,Games Played,index.php?action=rpt_gamesplayed,1
3050,3000,5,Edit Results,index.php?action=results,1
5051,5050,1,Age analysis,index.php?action=rpt_age,1
4020,4000,2,Draw & Results,index.php?action=view_results,0
3080,3000,8,Edit finals draw,index.php?action=finals_draw,1
3090,3000,9,Edit Finals Results,index.php?action=finals_results,1
8023,8020,3,Edit Zones,index.php?action=zones,1
8022,8020,2,Edit Rounds,index.php?action=rounds,1
8024,8020,4,Edit Finals,index.php?action=finals,1
8025,8020,6,Load draw,index.php?action=draw_load,1
8026,8020,7,Edit draw,index.php?action=draw,1
8027,8020,8,Amend results,index.php?action=amend_results,1
8029,8020,10,Clear tables,index.php?action=zap,1
5000,0,5,Reports,,1
5010,5000,1,Season awards,index.php?action=rpt_top,1
8000,0,8,Admin,,1
8010,8000,2,Clubs,,1
8011,8010,1,Club list,index.php?action=clublist,1
8012,8010,2,Club edit,index.php?action=clubedit,1
8013,8010,3,Club Add,index.php?action=clubadd,1
8021,8020,1,Age Groups,index.php?action=ages,1
8030,8000,4,Grades,,1
8031,8030,1,Grade list,index.php?action=gradelist,1
8032,8030,2,Grade edit,index.php?action=gradeedit,1
8033,8030,3,Grade add,index.php?action=gradeadd,1
8040,8000,5,Schools,,1
8041,8040,1,School list,index.php?action=schoollist,1
8042,8040,2,School edit,index.php?action=schooledit,1
8043,8040,3,School add,index.php?action=schooladd,1
8050,8000,6,Teams,,1
8051,8050,1,Team list,index.php?action=teamlist,1
8052,8050,2,Team add,index.php?action=teamadd,1
8090,8000,9,My Account,index.php?action=myaccount,1
9000,0,9,System,,1
9010,9000,1,User List,index.php?action=userlist,1
9020,9000,2,Add Users,index.php?action=register,1
9030,9000,3,Edit User,index.php?action=useredit,1
9040,9000,4,Preferences,index.php?action=iniedit&op=edit,1
9050,9000,5,Options,index.php?action=option_edit,1
9060,9000,6,Hits by day,index.php?action=hitcount,1
9070,9000,7,Banners,index.php?action=banners,1
9080,9000,8,PHP info,index.php?action=phpinfo,1
9090,9000,9,Database,index.php?action=dbinfo,1
1040,1000,4,Add,index.php?action=playeradd,1
8005,8000,1,Competitions,index.php?action=comps,1
5020,5000,2,Player count by Club,index.php?action=rpt_playerclub,1
2040,2000,4,Add,index.php?action=memberadd,1
5030,5000,3,ID card reports,,1
5031,5030,1,Incomplete ID cards,index.php?action=player_idlist,1
8060,8000,7,ID card maintenance,index.php?action=player_idmaint,1
5032,5030,2,ID Cards to be printed,index.php?action=player_idready,1
5033,5030,3,ID cards printed,index.php?action=player_idprinted,1
5040,5000,4,Schools report,index.php?action=rpt_schools,1
1060,1000,6,Download,,1
2060,2000,6,Download,,1
5052,5050,2,Registrations,index.php?action=rpt_rego,1
3030,3000,3,Email,index.php?action=email,1
1070,1000,7,Import,index.php?action=playerimport,1
2070,2000,7,Import,index.php?action=memberimport,1
1062,1060,2,Reg forms,index.php?action=playerregdownload,1
2061,2060,1,Members,index.php?action=memberdownload,1
2062,2060,2,Reg Forms,index.php?action=memberregdownload,1
1030,1000,3,Online Registrations,index.php?action=playeronline,1
8080,8000,8,Credit Card reports,index.php?action=ccrpt,1
1063,1060,3,Blank forms,index.php?action=playerregblank,1
2063,2060,3,Blank forms,index.php?action=memberregblank,1
8020,8000,3,Setup,,1
4000,0,4,View,,0
4010,4000,1,Signon sheets,index.php?action=teamsheet,0
4030,4000,3,Tables,index.php?action=tables,0
1080,1000,8,load photos,index.php?action=playerphotoimport,1
5070,5000,7,Coaches,index.php?action=rpt_coach,1
5080,5000,8,Refs & TJs,index.php?action=rpt_referee,1
1064,1060,4,"ARU ",index.php?action=aruplayerdownload,1
2064,2060,4,ARU,index.php?action=arumemberdownload,1
5090,5000,9,Volunteers,index.php?action=rpt_volunteers,1
3070,3000,7,Download Refs draw,index.php?action=refdrawdownload,1
3040,3000,4,Signon update,index.php?action=signonupdate,1
4040,4000,4,Download,,0
4041,4040,1,Results,index.php?action=download_results,0
4042,4040,2,Tables,index.php?action=download_tables,0
1065,1060,5,Waratah coupons,index.php?action=coupondownload,1
5050,5000,5,Analysis,,1
5053,5050,3,Reg. Analysis,index.php?action=rpt_anal,1
3060,3000,6,Photo sheet,index.php?action=photolist,1
1045,1000,5,Merge,index.php?action=playermerge,1
2045,2000,5,Merge,index.php?action=membermerge,1
